rank,filter,grade,name,category,uploads,subscribers,views,stats_url,date_scraped,source
73,subscribers,B+,Glenn Julifer,entertainment,363,352K,55451822,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
74,subscribers,B+,Rising Star Indonesia,music,1095,349K,330388411,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
75,subscribers,B+,SULE Channel,music,679,349K,65139334,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
76,subscribers,B+,BeaconCream,games,502,341K,57967178,https://socialblade.com/youtube/user/50lmjxokqgpea2e-0jcy7g,2022-09-15T03:45:56+00Z,socialblade
77,subscribers,B+,GamerSejati,games,1918,338K,102744223,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
78,subscribers,B+,Presiden Joko Widodo,news,261,336K,13412637,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
79,subscribers,B+,My Nursery Rhyme,music,283,332K,417657535,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
80,subscribers,B+,Sacha Stevenson,entertainment,205,330K,37511234,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
81,subscribers,B+,Yudist Ardhana,entertainment,133,325K,57409734,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
82,subscribers,B+,Sony Music Entertainment Indonesia,music,738,320K,436749775,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
83,subscribers,B+,Yufid.TV - Pengajian & Ceramah Isl…,education,6503,319K,82033490,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
84,subscribers,B,Rio Ardhillah,people,73,318K,15511367,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
85,subscribers,B+,Indira Kalistha,education,120,318K,31447559,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
86,subscribers,B+,Deren Firdaus,games,548,304K,53849325,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
87,subscribers,B+,AA UTAP,people,174,298K,38760190,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
88,subscribers,B+,89939893116992b,entertainment,3185,297K,225583238,https://socialblade.com/youtube/user/89939893116992b,2022-09-15T03:45:56+00Z,socialblade
89,subscribers,B+,Hanggini P. Retto,music,62,294K,27972131,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
90,subscribers,B+,raisa6690,entertainment,109,286K,134818923,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
91,subscribers,B+,Motomobi,autos,119,283K,34931194,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
92,subscribers,B+,Pelangi Records,music,272,281K,221665052,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
93,subscribers,B+,abdi kos,film,447,281K,67804213,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
94,subscribers,B+,TAMPAN GAMING,games,1430,278K,50657790,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
95,subscribers,A-,Armada Band,music,30,270K,132368264,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
96,subscribers,B,FreeQuranEducation,education,871,266K,25525264,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
97,subscribers,B+,Kemal Palevi,entertainment,68,262K,31034404,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
98,subscribers,B+,Nessie Judge,comedy,172,262K,20811835,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
99,subscribers,B+,AutonetMagz,autos,214,261K,66265713,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
100,subscribers,B+,The Voice Kids Indonesia,entertainment,274,261K,183817988,https://socialblade.com/youtube/channel/,2022-09-15T03:45:56+00Z,socialblade
1,video views,A,Cumicumi,entertainment,34843,913K,1190871370,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
2,video views,A-,Musica Studio's,music,805,1.06M,823142370,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
3,video views,A-,Trinity Optima Production,music,717,705K,774280992,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
4,video views,A-,NAGASWARA Official Video | Indones…,music,1034,706K,771092555,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
5,video views,A-,Netmediatama,entertainment,20528,956K,743225915,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
6,video views,A-,Lifia Niala,people,344,645K,719461062,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
7,video views,A,RCTI - LAYAR DRAMA INDONESIA,entertainment,11475,529K,699025279,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
8,video views,A-,GNP Music,music,501,--,623079423,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
9,video views,A-,Indosiar,entertainment,9570,534K,517043010,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
10,video views,A-,Aquarius Musikindo,music,665,398K,510468705,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
11,video views,B+,KapanLagi,entertainment,46592,664K,493024129,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
12,video views,B+,Sony Music Entertainment Indonesia,music,738,320K,436749775,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
13,video views,A-,TRANS TV Official,entertainment,12948,469K,430470136,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
14,video views,B+,sanimusicindonesia,music,1303,579K,427516204,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
15,video views,B,Qonny Q,education,112,552K,423046692,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
16,video views,A-,Ini Talk Show,comedy,3509,526K,423923125,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
17,video views,B+,My Nursery Rhyme,music,283,332K,417657535,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
18,video views,A-,Emotion Entertainment,music,372,230K,402776811,https://socialblade.com/youtube/channel/,2022-09-15T03:46:01+00Z,socialblade
